state,x,y
Acre,130,31
Alagoas,135.0, 25.0
Amazonas,81.0, 68.0
Amapá,13.0, 111.0
Bahia,92 ,4
Ceará,105.0, 62.0
Distrito Federal,31.0, -20.0
Espírito Santo,103.0, -53.0
Goiás,24.0, -32.0
Maranhão,63.0, 68.0
Minas Gerais,69.0, -43.0
Mato Grosso do Sul,-9.0, -58.0
Mato Grosso,-22.0, -2.0
Pará,9.0, 59.0
Paraíba,141.0, 45.0
Pernambuco,134.0, 35.0
Piauí,78.0, 39.0
Paraná,11.0, -95.0
Rio de Janeiro,85.0, -77.0
Rio Grande do Norte,136.0, 58.0
Rondônia,-75.0, 16.0
Roraima,-58.0, 117.0
Rio Grande do Sul,5.0 ,-133.0
Santa Catarina,35.0, -117.0
Sergipe,128.0, 16.0
São Paulo,33.0, -70.0
Tocantins,37.0, 18.0