German,English
Ich,I
ist,is
nicht,not
Sie,She
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,That
ein,a
in,in
wir,we
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,we
Und,And
so,so
sind,are
von,from
dich,you
war,was
haben,have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,How
noch,still
dir,to you
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,no
dem,to the
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,the end
kann,can
aber,but
Aber,But
schon,nice
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are you
im,in the
mal,just
doch,but
gut,good
meine,think
jetzt,now
weiß,white
Wenn,If
werden,will
Der,the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,one
wieder,again
bei,at
hab,have